#,Question,Best Single Answer (as of Feb 2026)
1,What is the form of government of the United States?,Republic
2,What is the supreme law of the land?,The Constitution
3,Name one thing the U.S. Constitution does.,Protects basic rights of Americans
4,"The U.S. Constitution starts with ""We the People."" Meaning?",Self-government
5,How are changes made to the U.S. Constitution?,Amendments
6,What does the Bill of Rights protect?,The basic rights of Americans
7,How many amendments does the Constitution have?,27
8,Why is the Declaration of Independence important?,It says America is free from British control
9,What document said the colonies were free from Britain?,Declaration of Independence
10,Name two ideas from the Declaration or Constitution.,Equality and Liberty
11,"""Life, Liberty, and the pursuit of Happiness"" are in what?",Declaration of Independence
12,What is the economic system of the United States?,Capitalism
13,"What is the ""rule of law""?",No one is above the law
14,Name one document that influenced the Constitution.,Declaration of Independence
15,There are three branches of government. Why?,Checks and balances
16,Name the three branches of government.,"Legislative, executive, and judicial"
17,Who is in charge of the executive branch?,The President
18,What part of the federal government writes laws?,U.S. Congress
19,What are the two parts of the U.S. Congress?,Senate and House of Representatives
20,Name one power of the U.S. Congress.,Writes laws
21,How many U.S. senators are there?,100
22,How long is a term for a U.S. senator?,6 years
23,Who is one of your state's U.S. senators now?,pending 'officials'
24,How many voting members are in the House?,435
25,How long is a term for a member of the House?,2 years
26,Why do House members serve shorter terms than Senators?,To more closely follow public opinion
27,How many senators does each state have?,2
28,Why does each state have two senators?,Equal representation for small states
29,Name your U.S. Representative.,pending 'officials'
30,What is the name of the Speaker of the House now?,pending 'officials'
31,Who does a U.S. senator represent?,People of their state
32,Who elects U.S. senators?,Citizens from their state
33,Who does a member of the House represent?,People of their district
34,Who elects members of the House?,Citizens from their district
35,Some states have more Representatives than others. Why?,Because of the state's population
36,The President is elected for how many years?,4 years
37,The President can serve only two terms. Why?,The 22nd Amendment
38,What is the name of the President of the U.S. now?,pending 'officials'
39,What is the name of the Vice President of the U.S. now?,pending 'officials'
40,"If the President can no longer serve, who becomes President?",The Vice President
41,Name one power of the President.,Signs bills into law
42,Who is Commander in Chief of the U.S. military?,The President
43,Who signs bills to become laws?,The President
44,Who vetoes bills?,The President
45,Who appoints federal judges?,The President
46,The executive branch has many parts. Name one.,The Cabinet
47,What does the President’s Cabinet do?,Advises the President
48,Name two Cabinet-level positions.,Secretary of State & Attorney General
49,Why is the Electoral College important?,It decides who is elected president
50,What is one part of the judicial branch?,Supreme Court
51,What does the judicial branch do?,Reviews laws
52,What is the highest court in the United States?,Supreme Court
53,How many seats are on the Supreme Court?,9
54,How many Supreme Court justices are usually needed to decide?,5
55,How long do Supreme Court justices serve?,For life (on good behavior)
56,Supreme Court justices serve for life. Why?,To be independent of politics
57,Who is the Chief Justice of the United States now?,pending 'officials'
58,Name one power that is only for the federal government.,To print money
59,Name one power that is only for the states.,Provide schooling and education
60,What is the purpose of the 10th Amendment?,Powers not given to the feds belong to the states
61,Who is the Governor of your state now?,pending 'officials'
62,What is the capital of your state?,pending user 'state'
63,There are four amendments about who can vote. Name one.,Citizens 18 and older can vote
64,Who can vote in federal elections in the U.S.?,Citizens of the United States
65,Name three rights of everyone living in the U.S.,"Speech, Religion, Assembly"
66,What do we show loyalty to in the Pledge of Allegiance?,The United States
67,Name two promises made when becoming a citizen.,Obey the laws / Be loyal to the U.S.
68,How can people become United States citizens?,Naturalization or Birth
69,What are two examples of civic participation?,Voting and running for office
70,What is one way Americans can serve their country?,Vote
71,Why is it important to pay federal taxes?,Required by law
72,Why register for Selective Service at age 18–25?,Required by law
73,The colonists came to America for many reasons. Name one.,Freedom
74,Who lived in America before the Europeans arrived?,American Indians
75,What group of people was taken and sold as slaves?,Africans
76,Why did the colonists fight the British?,Because of high taxes (taxation without representation)
77,Who wrote the Declaration of Independence?,Thomas Jefferson
78,When was the Declaration of Independence adopted?,"July 4, 1776"
79,The American Revolution had many important events. Name one.,Battle of Saratoga
80,There were 13 original states. Name three.,"New York, Virginia, Georgia"
81,What founding document was written in 1787?,U.S. Constitution
82,The Federalist Papers supported the Constitution. Name one writer.,(James) Madison
83,Why were the Federalist Papers important?,They helped people understand the Constitution
84,Benjamin Franklin is famous for many things. Name one.,U.S. diplomat
85,George Washington is famous for many things. Name one.,"""Father of Our Country"""
86,Thomas Jefferson is famous for many things. Name one.,Writer of the Declaration of Independence
87,James Madison is famous for many things. Name one.,"""Father of the Constitution"""
88,Alexander Hamilton is famous for many things. Name one.,First Secretary of the Treasury
89,What territory did the U.S. buy from France in 1803?,Louisiana
90,Name one war fought by the U.S. in the 1800s.,Civil War
91,Name the U.S. war between the North and the South.,The Civil War
92,The Civil War had many important events. Name one.,Battle of Gettysburg
93,Abraham Lincoln is famous for many things. Name one.,Freed the slaves (Emancipation Proclamation)
94,What did the Emancipation Proclamation do?,Freed the slaves
95,What U.S. war ended slavery?,The Civil War
96,What amendment gives citizenship to all born in the U.S.?,14th Amendment
97,When did all men get the right to vote?,After the Civil War (15th Amendment)
98,Name one women's rights leader in the 1800s.,Susan B. Anthony
99,Name one war fought by the U.S. in the 1900s.,World War II
100,Why did the United States enter World War I?,To support Allied powers
101,When did all women get the right to vote?,1920 (19th Amendment)
102,What was the Great Depression?,The longest economic downturn in U.S. history
103,When did the Great Depression start?,The Stock Market Crash of 1929
104,Who was President during the Great Depression and WWII?,Franklin Roosevelt
105,Why did the United States enter World War II?,Bombing of Pearl Harbor
106,Dwight Eisenhower is famous for many things. Name one.,General during World War II
107,Who was the main rival of the U.S. during the Cold War?,Soviet Union (USSR)
108,"During the Cold War, what was the main concern of the U.S.?",Communism
109,Why did the United States enter the Korean War?,To stop the spread of communism
110,Why did the United States enter the Vietnam War?,To stop the spread of communism
111,What did the civil rights movement do?,Tried to end racial discrimination
112,"Martin Luther King, Jr. is famous for many things. Name one.",Fought for civil rights
113,Why did the United States enter the Gulf War?,To force Iraqi military out of Kuwait
114,"What major event happened on September 11, 2001?",Terrorists attacked the United States
115,Name one U.S. military conflict after 9/11.,Global War on Terror
116,Name one American Indian tribe in the United States.,Navajo
117,Name one example of an American innovation.,The Internet
118,What is the capital of the United States?,"Washington, D.C."
119,Where is the Statue of Liberty?,New York Harbor
120,Why does the flag have 13 stripes?,Because there were 13 original colonies
121,Why does the flag have 50 stars?,One for each state
122,What is the name of the national anthem?,The Star-Spangled Banner
123,"The Nation's motto ""E Pluribus Unum"" means?","Out of many, one"
124,What is Independence Day?,A holiday to celebrate U.S. independence from Britain
125,Name three national U.S. holidays.,"New Year's Day, Memorial Day, July 4th"
126,What is Memorial Day?,A holiday to honor soldiers who died in military service
127,What is Veterans Day?,A holiday to honor people in the (U.S.) military
128,Why do we celebrate Thanksgiving?,To celebrate the harvest / First colonists