USCIS ID,Question,Option A,Option B,Option C,Option D,Correct Option,Official Answer,Visual Memory Hook URL,Why This Answer?,Topic,Sub-Topic
1,"What is the form of government of the United States?","✓ Republic","Not provided","Not provided","Not provided",A,"Republic",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/06371a259_generated_image.png,"","American Government","Principles"
2,"What is the supreme law of the land?","✓ (U.S.) Constitution","Not provided","Not provided","Not provided",A,"(U.S.) Constitution",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/3539a33f4_generated_image.png,"","American Government","Principles"
3,"Name one thing the U.S. Constitution does.","✓ Protects the rights of the people","Not provided","Not provided","Not provided",A,"Protects the rights of the people",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/fc4df5b1e_generated_image.png,"","American Government","Principles"
4,"The U.S. Constitution starts with the words “We the People.” What does “We the People” mean?","✓ Self-government","Not provided","Not provided","Not provided",A,"Self-government",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/2f69e1103_generated_image.png,"","American Government","Principles"
5,"How are changes made to the U.S. Constitution?","✓ Amendments","Not provided","Not provided","Not provided",A,"Amendments",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/d266c1597_generated_image.png,"","American Government","Principles"
6,"What does the Bill of Rights protect?","✓ (The basic) rights of people in the United States","Not provided","Not provided","Not provided",A,"(The basic) rights of people in the United States",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/e7616352e_generated_image.png,"","American Government","Principles"
7,"How many amendments does the U.S. Constitution have?","✓ Twenty-seven (27)","Not provided","Not provided","Not provided",A,"Twenty-seven (27)",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/c9ab1e478_generated_image.png,"","American Government","Principles"
8,"Why is the Declaration of Independence important?","✓ It says America is free from British control.","Not provided","Not provided","Not provided",A,"It says America is free from British control.",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/76c83485e_generated_image.png,"","American Government","Principles"
9,"What founding document said the American colonies were free from Britain?","✓ Declaration of Independence","Not provided","Not provided","Not provided",A,"Declaration of Independence",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/78cbe68a8_generated_image.png,"","American Government","Principles"
10,"Name two important ideas from the Declaration of Independence and the U.S. Constitution.","✓ Equality","Not provided","Not provided","Not provided",A,"Equality",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/071de79f6_generated_image.png,"","American Government","Principles"
11,"The words “Life, Liberty, and the pursuit of Happiness” are in what founding document?","✓ Declaration of Independence","Not provided","Not provided","Not provided",A,"Declaration of Independence",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/583c3bfe5_generated_image.png,"","American Government","Principles"
12,"What is the economic system of the United States?","✓ Capitalism","Not provided","Not provided","Not provided",A,"Capitalism",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/13ab54737_generated_image.png,"","American Government","Principles"
13,"What is the rule of law?","✓ Everyone must follow the law.","Not provided","Not provided","Not provided",A,"Everyone must follow the law.",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/46da765cb_generated_image.png,"","American Government","Principles"
14,"Many documents influenced the U.S. Constitution. Name one.","✓ Declaration of Independence","Not provided","Not provided","Not provided",A,"Declaration of Independence",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/cccff0f1a_generated_image.png,"","American Government","Principles"
15,"There are three branches of government. Why?","✓ So one part does not become too powerful","Not provided","Not provided","Not provided",A,"So one part does not become too powerful",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/02779272f_generated_image.png,"","American Government","Principles"
16,"Name the three branches of government.","✓ Legislative, executive, and judicial","Not provided","Not provided","Not provided",A,"Legislative, executive, and judicial",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/3bdb913e8_generated_image.png,"","American Government","System of Government"
17,"The President of the United States is in charge of which branch of government?","✓ Executive branch","Not provided","Not provided","Not provided",A,"Executive branch",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/918b9b626_generated_image.png,"","American Government","System of Government"
18,"What part of the federal government writes laws?","✓ (U.S.) Congress","Not provided","Not provided","Not provided",A,"(U.S.) Congress",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/2152345ac_generated_image.png,"","American Government","System of Government"
19,"What are the two parts of the U.S. Congress?","✓ Senate and House (of Representatives)","Not provided","Not provided","Not provided",A,"Senate and House (of Representatives)",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/89a984b4c_generated_image.png,"","American Government","System of Government"
20,"Name one power of the U.S. Congress.","✓ Writes laws","Not provided","Not provided","Not provided",A,"Writes laws",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/aa36f134c_generated_image.png,"","American Government","System of Government"
21,"How many U.S. senators are there?","✓ One hundred (100)","Not provided","Not provided","Not provided",A,"One hundred (100)",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/ec64bc34e_generated_image.png,"","American Government","System of Government"
22,"How long is a term for a U.S. senator?","✓ Six (6) years","Not provided","Not provided","Not provided",A,"Six (6) years",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/3b4bb7c0a_generated_image.png,"","American Government","System of Government"
23,"Who is one of your state’s U.S. senators now?","✓ Not provided","Not provided","Not provided","Not provided",A,"[Answer varies by state]",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/3ab8143ce_generated_image.png,"","American Government","System of Government"
24,"How many voting members are in the House of Representatives?","✓ Four hundred thirty-five (435)","Not provided","Not provided","Not provided",A,"Four hundred thirty-five (435)",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/31ea25bdd_generated_image.png,"","American Government","System of Government"
25,"How long is a term for a member of the House of Representatives?","✓ Two (2) years","Not provided","Not provided","Not provided",A,"Two (2) years",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/a95fcb55a_generated_image.png,"","American Government","System of Government"
26,"Why do U.S. representatives serve shorter terms than U.S. senators?","✓ To more closely follow public opinion","Not provided","Not provided","Not provided",A,"To more closely follow public opinion",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/ea535200f_generated_image.png,"","American Government","System of Government"
27,"How many senators does each state have?","✓ Two (2)","Not provided","Not provided","Not provided",A,"Two (2)",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/f1e9671bd_generated_image.png,"","American Government","System of Government"
28,"Why does each state have two senators?","✓ Equal representation (for small states)","Not provided","Not provided","Not provided",A,"Equal representation (for small states)",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/54f12b836_generated_image.png,"","American Government","System of Government"
31,"Who does a U.S. senator represent?","✓ People of their state","Not provided","Not provided","Not provided",A,"People of their state",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/6e68c3c54_generated_image.png,"","American Government","System of Government"
32,"Who elects U.S. senators?","✓ Citizens from their state","Not provided","Not provided","Not provided",A,"Citizens from their state",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/d9334ffa7_generated_image.png,"","American Government","System of Government"
33,"Who does a member of the House of Representatives represent?","✓ People in their (congressional) district","Not provided","Not provided","Not provided",A,"People in their (congressional) district",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/af5305ba1_generated_image.png,"","American Government","System of Government"
34,"Who elects members of the House of Representatives?","✓ Citizens from their (congressional) district","Not provided","Not provided","Not provided",A,"Citizens from their (congressional) district",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/a1ce7d722_generated_image.png,"","American Government","System of Government"
35,"Some states have more representatives than other states. Why?","✓ Because of the state’s population","Not provided","Not provided","Not provided",A,"Because of the state’s population",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/89bcb57da_generated_image.png,"","American Government","System of Government"
36,"The President of the United States is elected for how many years?","✓ Four (4) years","Not provided","Not provided","Not provided",A,"Four (4) years",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/fa2e02e79_generated_image.png,"","American Government","System of Government"
37,"The President of the United States can serve only two terms. Why?","✓ Because of the 22nd Amendment","Not provided","Not provided","Not provided",A,"Because of the 22nd Amendment",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/60b8be23a_generated_image.png,"","American Government","System of Government"
40,"If the president can no longer serve, who becomes president?","✓ The Vice President (of the United States)","Not provided","Not provided","Not provided",A,"The Vice President (of the United States)",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/a44655572_generated_image.png,"","American Government","System of Government"
41,"Name one power of the president.","✓ Signs bills into law","Not provided","Not provided","Not provided",A,"Signs bills into law",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/e91b60641_generated_image.png,"","American Government","System of Government"
42,"Who is Commander in Chief of the U.S. military?","✓ The President (of the United States)","Not provided","Not provided","Not provided",A,"The President (of the United States)",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/cc8d66ebf_generated_image.png,"","American Government","System of Government"
43,"Who signs bills to become laws?","✓ The President (of the United States)","Not provided","Not provided","Not provided",A,"The President (of the United States)",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/96ca0623b_generated_image.png,"","American Government","System of Government"
44,"Who vetoes bills?","✓ The President (of the United States)","Not provided","Not provided","Not provided",A,"The President (of the United States)",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/cb514a06b_generated_image.png,"","American Government","System of Government"
45,"Who appoints federal judges?","✓ The President (of the United States)","Not provided","Not provided","Not provided",A,"The President (of the United States)",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/e691f1bc8_generated_image.png,"","American Government","System of Government"
49,"Why is the Electoral College important?","✓ It decides who is elected president.","Not provided","Not provided","Not provided",A,"It decides who is elected president.",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/f23c4514f_generated_image.png,"","American Government","System of Government"
50,"What is one part of the judicial branch?","✓ Supreme Court","Not provided","Not provided","Not provided",A,"Supreme Court",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/b3607fe0d_generated_image.png,"","American Government","System of Government"
51,"What does the judicial branch do?","✓ Reviews laws","Not provided","Not provided","Not provided",A,"Reviews laws",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/cd63a7409_generated_image.png,"","American Government","System of Government"
52,"What is the highest court in the United States?","✓ Supreme Court","Not provided","Not provided","Not provided",A,"Supreme Court",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/a70435959_generated_image.png,"","American Government","System of Government"
53,"How many seats are on the Supreme Court?","✓ Nine (9)","Not provided","Not provided","Not provided",A,"Nine (9)",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/7614f6e85_generated_image.png,"","American Government","System of Government"
54,"How many Supreme Court justices are usually needed to decide a case?","✓ Five (5)","Not provided","Not provided","Not provided",A,"Five (5)",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/660b55b17_generated_image.png,"","American Government","System of Government"
55,"How long do Supreme Court justices serve?","✓ For life","Not provided","Not provided","Not provided",A,"For life",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/cfb757194_generated_image.png,"","American Government","System of Government"
56,"Supreme Court justices serve for life. Why?","✓ To be independent (of politics)","Not provided","Not provided","Not provided",A,"To be independent (of politics)",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/481a8d759_generated_image.png,"","American Government","System of Government"
57,"Who is the Chief Justice of the United States now?","✓ Not provided","Not provided","Not provided","Not provided",A,"[Current Chief Justice]",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/55b0f7081_generated_image.png,"","American Government","System of Government"
58,"Name one power that is only for the federal government.","✓ Print paper money","Not provided","Not provided","Not provided",A,"Print paper money",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/55ef20f94_generated_image.png,"","American Government","System of Government"
59,"Name one power that is only for the states.","✓ Provide schooling and education","Not provided","Not provided","Not provided",A,"Provide schooling and education",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/7f9f1b4fc_generated_image.png,"","American Government","System of Government"
60,"What is the purpose of the 10th Amendment?","✓ Powers not given to the federal government belong to the states or the people.","Not provided","Not provided","Not provided",A,"Powers not given to the federal government belong to the states or the people.",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/0c16b214c_generated_image.png,"","American Government","System of Government"
61,"Who is the governor of your state now?","✓ Not provided","Not provided","Not provided","Not provided",A,"[Current Governor]",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/0dc029767_generated_image.png,"","American Government","System of Government"
62,"What is the capital of your state?","✓ [Answer varies by state]","Not provided","Not provided","Not provided",A,"[Answer varies by state]",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/dbd112b34_generated_image.png,"","American Government","System of Government"
63,"There are four amendments to the U.S. Constitution about who can vote. Describe one of them.","✓ Citizens eighteen (18) and older (can vote).","Not provided","Not provided","Not provided",A,"Citizens eighteen (18) and older (can vote).",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/a71ac4057_generated_image.png,"","American Government","Rights & Responsibilities"
64,"Who can vote in federal elections, run for federal office, and serve on a jury in the United States?","✓ Citizens of the United States","Not provided","Not provided","Not provided",A,"Citizens of the United States",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/52a3f5ecc_generated_image.png,"","American Government","Rights & Responsibilities"
65,"What are three rights of everyone living in the United States?","✓ Freedom of speech","Not provided","Not provided","Not provided",A,"Freedom of speech",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/edcde16f2_generated_image.png,"","American Government","Rights & Responsibilities"
66,"What do we show loyalty to when we say the Pledge of Allegiance?","✓ The United States","Not provided","Not provided","Not provided",A,"The United States",https://qtrypzzcjebvfcihiynt.supabase.co/storage/v1/object/public/base44-prod/public/69710272ce3bc6b1074e1740/df3c7030c_generated_image.png,"","American Government","Rights & Responsibilities"
